Model,Accuracy,Precision,Recall,F2 Score,F2-Macro,AUC-PR
SVM,0.9217,0.9056755668858177,0.9882869692532943,0.9705806228970754,0.8903274165907193,0.955854584605747
Gradient Boosting,0.9358,0.9828339575530587,0.922108345534407,0.9336456356736242,0.936955561199644,0.9957626733116854
Random Forest,0.9362,0.9852664576802508,0.9203513909224011,0.9326409495548962,0.9380996158817425,0.9957742359492396
DNN,0.9134,0.9448090692124105,0.9273792093704246,0.9308135433811427,0.9035640075443521,0.9882021275919214
KNN,0.9308,0.9866793529971456,0.9109809663250366,0.9251769464105156,0.9337622853464573,0.99228013777874
Decision Tree,0.9274,0.9803273528485993,0.9120058565153734,0.9248975470689553,0.9287295526597992,0.9840443793554504
Logistic Regression,0.8829,0.9076501944964702,0.9224011713030746,0.9194127433524999,0.8614155018624117,0.968125009453447
Naive Bayes,0.8314,0.8671139023693977,0.8894582723279648,0.8848977451494494,0.7995689440306389,0.9491793357080194
